,uid,first_seen,last_seen,stream_count,comment_count
21197397,21197397,2021-02-15,2022-05-11,31,51
2364270,2364270,2021-03-04,2022-05-11,14,103
9245340,9245340,2021-02-25,2022-05-11,122,1754
33500458,33500458,2021-03-05,2022-05-08,21,21
244898274,244898274,2021-01-23,2022-05-11,39,213
325555621,325555621,2021-03-03,2022-05-11,119,1252
259600316,259600316,2021-02-24,2022-05-08,102,230
3582753,3582753,2021-01-30,2022-05-11,123,1403
2500236,2500236,2021-03-06,2022-05-11,10,15
13890873,13890873,2021-02-14,2022-05-11,332,29342
12247704,12247704,2021-02-26,2022-05-08,242,542
17452576,17452576,2021-02-25,2022-05-08,211,1253
2653686,2653686,2021-02-27,2022-05-11,178,1052
12485706,12485706,2021-03-06,2022-05-11,121,1064
10720667,10720667,2021-02-17,2022-05-11,11,26
9940610,9940610,2021-02-26,2022-05-11,64,144
2213900,2213900,2021-02-24,2022-05-08,270,700
25675203,25675203,2021-03-04,2022-05-11,77,133
262195503,262195503,2021-02-24,2022-05-11,203,479
277122,277122,2021-02-26,2022-05-08,170,1860
489616164,489616164,2021-01-06,2022-05-11,69,275
284937275,284937275,2021-02-24,2022-05-11,116,573
22646444,22646444,2021-03-03,2022-05-11,176,2778
171766774,171766774,2021-02-27,2022-05-11,101,1386
394393643,394393643,2021-03-06,2022-05-11,45,310
2477153,2477153,2021-02-24,2022-05-11,45,313
34833755,34833755,2021-02-26,2022-05-11,31,99
266883280,266883280,2021-03-03,2022-05-11,213,1681
1339850,1339850,2021-03-03,2022-05-11,238,1199
9970033,9970033,2021-03-05,2022-05-11,42,503
21959794,21959794,2021-03-03,2022-05-11,122,1390
23032082,23032082,2021-02-25,2022-05-11,105,2358
107614938,107614938,2021-03-06,2022-05-11,152,966
5537584,5537584,2021-03-03,2022-05-11,54,546
14594689,14594689,2021-01-10,2022-05-08,32,37
1896798,1896798,2021-03-03,2022-05-11,19,63
591901209,591901209,2021-02-28,2022-05-08,35,154
120094830,120094830,2021-02-25,2022-05-11,41,178
32071473,32071473,2021-01-23,2022-05-11,268,3580
32138819,32138819,2021-03-06,2022-05-11,19,74
340775845,340775845,2021-03-06,2022-05-11,189,1139
1450420,1450420,2021-03-06,2022-05-11,20,52
33997130,33997130,2021-03-05,2022-05-08,109,466
104893970,104893970,2021-02-25,2022-05-11,93,543
25314003,25314003,2021-02-27,2022-05-08,27,114
9637134,9637134,2021-01-30,2022-05-11,64,169
2293181,2293181,2021-02-26,2022-05-11,97,4536
326756142,326756142,2021-02-27,2022-05-11,266,4570
222190810,222190810,2021-02-27,2022-05-11,29,248
299847975,299847975,2021-02-28,2022-05-11,131,2153
33478505,33478505,2021-01-23,2022-05-08,156,410
57858407,57858407,2021-03-03,2022-05-11,19,51
12073766,12073766,2021-03-03,2022-05-08,219,1008
16571964,16571964,2021-03-04,2022-05-11,74,802
400730614,400730614,2021-02-25,2022-05-11,46,116
34699346,34699346,2021-03-04,2022-05-08,22,64
86637718,86637718,2021-02-25,2022-05-11,14,66
14279789,14279789,2021-02-25,2022-05-11,58,364
85360911,85360911,2021-03-07,2022-05-11,63,338
361128545,361128545,2021-02-15,2022-05-08,34,88
313490208,313490208,2021-03-07,2022-05-08,134,1576
11235656,11235656,2021-03-07,2022-05-08,286,3266
42360800,42360800,2021-03-07,2022-05-11,66,675
3727543,3727543,2021-03-07,2022-05-08,28,30
100613684,100613684,2021-02-17,2022-05-11,61,466
62664817,62664817,2021-02-28,2022-05-11,42,235
350577200,350577200,2021-02-27,2022-05-11,20,48
22969913,22969913,2021-02-28,2022-05-08,87,236
1820905,1820905,2021-02-28,2022-05-11,19,176
36189557,36189557,2021-03-05,2022-05-11,228,1311
351978741,351978741,2021-03-07,2022-05-11,80,770
668867,668867,2020-12-11,2022-05-11,11,85
22688768,22688768,2021-02-25,2022-05-11,80,487
14775870,14775870,2021-02-27,2022-05-11,57,289
102639973,102639973,2021-03-03,2022-05-08,16,26
425501470,425501470,2021-02-28,2022-05-11,17,104
20265873,20265873,2021-02-26,2022-05-11,190,421
3321383,3321383,2020-12-20,2022-05-08,30,57
88538100,88538100,2021-02-28,2022-05-11,106,118
687355093,687355093,2021-02-28,2022-05-11,135,480
2172403,2172403,2021-02-26,2022-05-11,131,765
290869463,290869463,2021-03-07,2022-05-11,45,280
122093761,122093761,2021-01-28,2022-05-11,146,792
52411701,52411701,2021-03-07,2022-05-11,57,944
1529854,1529854,2021-03-05,2022-05-11,57,711
2119206,2119206,2021-03-07,2022-05-08,132,1779
164098372,164098372,2021-02-26,2022-05-11,21,29
455407189,455407189,2021-03-03,2022-05-11,170,2211
12939424,12939424,2021-03-03,2022-05-11,265,6427
12869036,12869036,2021-02-26,2022-05-11,19,59
43596358,43596358,2021-03-03,2022-05-11,22,39
795636,795636,2021-03-03,2022-05-11,16,96
90641219,90641219,2021-03-07,2022-05-11,16,61
193064759,193064759,2021-03-07,2022-05-11,17,39
180581935,180581935,2021-02-15,2022-05-11,35,70
8661247,8661247,2021-03-07,2022-05-11,68,277
20414361,20414361,2021-02-27,2022-05-11,98,615
13631872,13631872,2021-03-04,2022-05-11,172,510
13935633,13935633,2021-03-04,2022-05-11,57,869
1615452,1615452,2021-03-07,2022-05-11,92,1291
349055733,349055733,2021-02-24,2022-05-08,48,300
440877,440877,2021-03-07,2022-05-08,305,24718
16968162,16968162,2021-02-15,2022-05-08,56,79
434456741,434456741,2021-03-04,2022-05-08,244,526
37487432,37487432,2021-03-03,2022-05-11,26,87
10981436,10981436,2021-03-07,2022-05-11,12,24
123190721,123190721,2021-03-07,2022-05-11,116,3400
12916860,12916860,2021-03-04,2022-05-08,58,151
402145511,402145511,2021-02-28,2022-05-11,42,94
701056336,701056336,2021-02-25,2022-05-11,20,45
5411366,5411366,2021-03-07,2022-05-08,22,65
3048549,3048549,2021-03-07,2022-05-11,86,679
23113412,23113412,2021-02-25,2022-05-11,30,75
122620257,122620257,2021-03-07,2022-05-11,27,98
23734048,23734048,2021-02-28,2022-05-11,12,24
219532718,219532718,2021-03-07,2022-05-08,22,66
14151969,14151969,2021-03-03,2022-05-11,119,259
7812019,7812019,2021-02-25,2022-05-08,26,49
161647562,161647562,2021-02-15,2022-05-11,186,1734
85799254,85799254,2021-03-03,2022-05-08,39,124
41115234,41115234,2021-03-07,2022-05-11,25,175
9789161,9789161,2021-03-07,2022-05-11,64,456
223601630,223601630,2021-02-24,2022-05-11,255,1030
17798209,17798209,2021-03-04,2022-05-08,20,109
6438238,6438238,2021-03-07,2022-05-11,92,2119
26133858,26133858,2021-03-07,2022-05-11,29,80
3041657,3041657,2021-03-07,2022-05-11,14,53
22120375,22120375,2021-02-14,2022-05-08,118,464
11945752,11945752,2021-03-07,2022-05-11,193,2682
13956172,13956172,2021-03-07,2022-05-11,10,15
12779493,12779493,2021-03-04,2022-05-11,51,1639
9150920,9150920,2021-02-28,2022-05-11,11,42
4900867,4900867,2021-02-26,2022-05-11,253,2589
85847188,85847188,2021-03-07,2022-05-08,225,2705
82569542,82569542,2021-03-07,2022-05-11,258,2973
702187,702187,2021-02-14,2022-05-11,197,952
488290900,488290900,2021-02-25,2022-05-11,245,5644
2295149,2295149,2021-02-26,2022-05-08,182,1143
338080315,338080315,2021-03-10,2022-05-11,32,356
7906191,7906191,2021-03-10,2022-05-11,26,38
128544518,128544518,2021-03-10,2022-05-11,183,12382
5402325,5402325,2021-03-10,2022-05-11,66,201
11991665,11991665,2021-02-28,2022-05-11,29,74
8888563,8888563,2021-03-03,2022-05-11,29,118
528470,528470,2021-02-28,2022-05-11,22,35
7572220,7572220,2021-03-10,2022-05-11,170,844
152884727,152884727,2021-03-03,2022-05-11,240,854
3256037,3256037,2021-03-10,2022-05-11,334,2656
29751004,29751004,2021-02-28,2022-05-11,71,215
246295709,246295709,2021-03-04,2022-05-11,70,152
288539270,288539270,2021-01-30,2022-05-08,30,69
18707155,18707155,2021-02-16,2022-05-11,176,567
12805190,12805190,2021-03-11,2022-05-08,22,33
27209405,27209405,2021-02-26,2022-05-08,34,178
118958484,118958484,2021-03-11,2022-05-11,117,3083
32803978,32803978,2021-03-11,2022-05-11,11,39
9992348,9992348,2021-02-24,2022-05-11,70,250
18763647,18763647,2021-03-11,2022-05-11,45,238
26339250,26339250,2021-02-14,2022-05-11,27,52
382897401,382897401,2021-03-11,2022-05-11,128,949
335977174,335977174,2021-03-11,2022-05-11,40,376
12894303,12894303,2021-03-03,2022-05-11,44,213
10847135,10847135,2021-02-16,2022-05-11,80,144
1278964,1278964,2021-03-11,2022-05-08,92,608
38522052,38522052,2021-03-03,2022-05-11,30,125
